time,pos,vel,error,output
3.08,15.09345630711852,5.144287234436189,9.009429437570203,10.0
3.1,15.196272793934716,5.14082434080972,8.90654369288148,10.0
3.12,15.299021685067322,5.137444556630287,8.803727206065284,10.0
3.14,15.401704602812744,5.13414588727116,8.700978314932678,10.0
3.16,15.504323130532278,5.130926385976652,8.598295397187256,10.0
3.18,15.606878813586542,5.127784152713213,8.495676869467722,10.0
3.2,15.709373160247504,5.124717333048096,8.393121186413458,10.0
3.22,15.811807642588603,5.121724117054942,8.290626839752496,10.0
3.24,15.914183697353515,5.118802738245623,8.188192357411397,10.0
3.26,16.01650272680407,5.115951472527728,8.085816302646485,10.0
3.28,16.118766099547813,5.113168637187062,7.98349727319593,10.0
3.3,16.220975151345705,5.110452589894573,7.881233900452187,10.0
3.32,16.323131185900447,5.107801727737103,7.779024848654295,10.0
3.34,16.425235475625875,5.105214486271413,7.676868814099553,10.0
3.36,16.527289262397893,5.102689338600899,7.574764524374125,10.0
3.38,16.629293758287382,5.100224794474477,7.472710737602107,10.0
3.4,16.731250146275524,5.09781939940709,7.370706241712618,10.0
3.42,16.83315958095195,5.09547173382132,7.268749853724476,10.0
3.44,16.93502318919614,5.093180412209608,7.16684041904805,10.0
3.46,17.03684207084247,5.090944082316577,7.064976810803859,10.0
3.48,17.13861729932929,5.088761424340979,6.9631579291575285,10.0
3.5,17.240349922332427,5.086631150156796,6.86138270067071,10.0
3.52,17.34204096238349,5.084552002553033,6.7596500776675725,10.0
3.54,17.443691417473325,5.08252275449176,6.657959037616511,10.0
3.56,17.545302261641005,5.0805422083839575,6.556308582526675,10.0
3.58,17.64687444554866,5.078609195382742,6.454697738358995,10.0
3.6,17.748408897042534,5.076722574693556,6.3531255544513385,10.0
3.62,17.849906521700554,5.0748812329009105,6.251591102957466,10.0
3.64,17.95136820336678,5.073084083311288,6.150093478299446,10.0
3.66,18.052794804673017,5.071330065311817,6.04863179663322,10.0
3.68,18.154187167547903,5.069618143744333,5.947205195326983,10.0
3.7,18.25554611371379,5.067947308294469,5.845812832452097,10.0
3.72,18.3568724451717,5.066316572895402,5.744453886286209,10.0
3.74,18.458166944674616,5.0647249751459125,5.6431275548283,10.0
